n,type,avg_time_micro
21300,random,3482.4
21300,reversed,1915.4
21300,nearly,2131
21400,random,3520.6
21400,reversed,2028
21400,nearly,2109.4
21500,random,3499.6
21500,reversed,1910.6
21500,nearly,1945.4
21600,random,3433.8
21600,reversed,1980.8
21600,nearly,1981.6
21700,random,3401.8
21700,reversed,1967.4
21700,nearly,2055.8
21800,random,3464.6
21800,reversed,1980.8
21800,nearly,2027
21900,random,3473.6
21900,reversed,1969
21900,nearly,2056.8
22000,random,3534.8
22000,reversed,2005.2
22000,nearly,2054.2
22100,random,3606.2
22100,reversed,2007.4
22100,nearly,2074.8
22200,random,3541
22200,reversed,1997.4
22200,nearly,2109.8
22300,random,3544.4
22300,reversed,1972.4
22300,nearly,2119.4
22400,random,3600
22400,reversed,2102.4
22400,nearly,2089.2
22500,random,3653.4
22500,reversed,2027.8
22500,nearly,2106.8
22600,random,3609.6
22600,reversed,2120.6
22600,nearly,2144.8
22700,random,3633.2
22700,reversed,2068
22700,nearly,2222.2
22800,random,3650.6
22800,reversed,2178
22800,nearly,2175.8
22900,random,3736.2
22900,reversed,2072.8
22900,nearly,2188.2
23000,random,3679.8
23000,reversed,2050.6
23000,nearly,2152.2
23100,random,3680.4
23100,reversed,2060.4
23100,nearly,2171.6
23200,random,3703.2
23200,reversed,2101.4
23200,nearly,2229.4
23300,random,3657.8
23300,reversed,2081.6
23300,nearly,2193.6
23400,random,3797.2
23400,reversed,2118.4
23400,nearly,2233.4
23500,random,3742.8
23500,reversed,2178
23500,nearly,2211.8
23600,random,3775.4
23600,reversed,2174.2
23600,nearly,2278
23700,random,3757.6
23700,reversed,2112
23700,nearly,2354.8
23800,random,3793.8
23800,reversed,2158.4
23800,nearly,2311.2
23900,random,3828.8
23900,reversed,2278.6
23900,nearly,2245.2
24000,random,3776.2
24000,reversed,2148
24000,nearly,2274.2
24100,random,3811
24100,reversed,2183.6
24100,nearly,2374.6
24200,random,3799.2
24200,reversed,2140
24200,nearly,2295.2
24300,random,3886.8
24300,reversed,2283.6
24300,nearly,2293.8
24400,random,3902.6
24400,reversed,2167.4
24400,nearly,2341
24500,random,3938.2
24500,reversed,2242.2
24500,nearly,2326.4
24600,random,3940.4
24600,reversed,2327.8
