n,type,avg_th5,avg_th10,avg_th20,avg_th30,avg_th50
8000,reversed,540.6,521.2,515,507.2,620.6
8000,nearly,435.6,419.2,411.4,415.2,402.8
8100,random,1094.6,1037,1015.4,997.8,1024.8
8100,reversed,534.2,518.4,519.2,518,636.2
8100,nearly,451.4,442.6,432.4,435.2,423
8200,random,1112.8,1063.6,1028.8,1025.2,1060.2
8200,reversed,550.6,534.2,559,578.2,727.4
8200,nearly,469.6,465.4,450,439.6,438.2
8300,random,1163.4,1093.6,1055.6,1050,1069.4
8300,reversed,574.4,533.2,534.4,530.2,658.4
8300,nearly,446.8,448.8,436.6,439.4,428.4
8400,random,1139,1080.2,1045.8,1041.8,1056.2
8400,reversed,584.4,562.8,575.6,571.4,694.4
8400,nearly,473.4,459.6,452.6,455.4,431.2
8500,random,1146.4,1097.4,1080.8,1079.6,1105.4
8500,reversed,584,577.2,585.6,575.6,729.6
8500,nearly,473.4,458.6,463,467.2,454
8600,random,1177.6,1134.4,1108.6,1087.2,1080.4
8600,reversed,589.4,573.6,563,579.6,686.2
8600,nearly,479.2,474,463.8,465,447.4
8700,random,1176.6,1122.8,1093,1086.6,1097.6
8700,reversed,604,593.6,605,605.8,716.4
8700,nearly,474,462,457,452.4,435.8
8800,random,1190.2,1165.8,1121,1125.6,1131.2
8800,reversed,600.4,575,581.4,601.2,724.4
8800,nearly,494.8,492,468.8,465.8,451.6
8900,random,1250.4,1164,1110.2,1109.8,1123.2
8900,reversed,607.8,584,590.8,579.2,724.6
8900,nearly,484,475.6,470.4,467.8,453
9000,random,1225.8,1173,1145.4,1155.4,1154.6
9000,reversed,628,589,594.2,589,739.8
9000,nearly,509.4,501,494.6,488.4,471.4
9100,random,1236.6,1195,1174.4,1149.8,1182
9100,reversed,608,598.4,603.8,608.6,791.2
9100,nearly,529.8,504.8,506.2,491.8,476.8
9200,random,1271.2,1201.8,1134,1141,1157.4
9200,reversed,605,590,599.2,598.2,766.4
9200,nearly,536.8,536.8,526.8,531.6,505
9300,random,1273.4,1206.2,1160,1162.4,1186.6
9300,reversed,622.6,613.4,626.6,623.2,785.6
9300,nearly,521.4,512.8,503.8,501.8,489
9400,random,1298.2,1236.8,1209.8,1196.8,1213.2
9400,reversed,651.6,607.6,642.4,645.8,819.4
9400,nearly,524.8,516.4,495.2,491.8,484.4
9500,random,1287,1233.8,1208,1184.6,1214
9500,reversed,659.6,626.8,641.8,639,817.2
9500,nearly,514.8,502.2,492.6,498.8,474.6
9600,random,1290.8,1230.6,1193,1193.4,1218.4
9600,reversed,677.8,654,677.4,647.6,843.8
9600,nearly,556.4,541.8,512.2,515,503.8
9700,random,1328.8,1282.2,1226.6,1207.6,1246.2
9700,reversed,676.8,666,673.6,674.8,860.8
9700,nearly,576.4,562.4,553,548,516.4
9800,random,1333.2,1274,1254.6,1253.4,1252.8
9800,reversed,704.6,685.8,702.2,678.6,871
9800,nearly,561.6,550.4,538,544,520.4
9900,random,1372,1310.4,1264.4,1273.2,1277.6
9900,reversed,694.4,652.2,683.6,671.2,884
9900,nearly,544.4,540.6,517,517.2,496.2
10000,random,1357.4,1293.2,1256.8,1253.2,1288.6
10000,reversed,696,678.6,700.2,701.4,903.6
10000,nearly,572.4,569.6,559.2,553.8,534
10100,random,1377.2,1322,1285.6,1277.4,1316.2
10100,reversed,683.4,667.4,694.6,693.8,905.6
10100,nearly,595.6,586.4,558.8,545.6,532.2
10200,random,1395,1357.2,1332.8,1293.2,1366.2
10200,reversed,686,685.4,696.4,689.6,903.8
10200,nearly,593.4,581.4,565.4,567.6,550.4
10300,random,1401.6,1342.8,1306,1295.8,1340.8
10300,reversed,748.8,731.4,761.4,761.6,965.4
10300,nearly,594.8,584.4,574.6,572.2,548
10400,random,1428.4,1365.2,1343.2,1330.2,1381.4
10400,reversed,701.2,701.8,737.6,729.2,947
10400,nearly,606.6,599.4,566.6,557.2,526.2
10500,random,1435.2,1383,1344.2,1323.2,1368.2
10500,reversed,733.2,701,707.6,736.4,956.8
10500,nearly,591.4,601.2,595.8,587,569
10600,random,1468.2,1415,1381.8,1376.6,1411.6
10600,reversed,757.2,744.4,754.2,783.8,996.8
10600,nearly,606.8,612,594,574,558.4
10700,random,1514.2,1434.2,1416.4,1382.2,1449.6
10700,reversed,779.4,764.2,722.6,739,979
10700,nearly,595.8,588.6,589.6,568.4,550.2
10800,random,1505.8,1466.2,1414,1399.6,1493.8
10800,reversed,734.4,721.8,714.2,754.8,1000.6
10800,nearly,603.4,618.8,619,610,601
10900,random,1546.6,1479.2,1433,1417.6,1463.4
10900,reversed,805.8,726.2,713,756.4,1015.8
10900,nearly,623.2,612.6,601.8,590.4,572.6
11000,random,1529.4,1489.6,1439.2,1422,1515.8
11000,reversed,741,730.6,719,783.6,1055.8
11000,nearly,610.4,620,603.8,593.6,566.8
11100,random,1573,1529.6,1479,1448.8,1491.4
11100,reversed,754.6,744.6,727.2,792,1058.4
11100,nearly,650.2,643.2,638.2,627,603.4
11200,random,1575.2,1531.8,1469.8,1437.6,1498.4
11200,reversed,803.4,783.6,742,801.2,1076.2
11200,nearly,674,652.6,642.8,623.2,600.4
11300,random,1595.4,1552.8,1486.2,1464.2,1512.2
11300,reversed,813.8,790.8,774,845.8,1125.8
11300,nearly,676.6,639.2,621.6,612.8,590
11400,random,1626.4,1569.4,1499.8,1468.4,1512.6
11400,reversed,806.8,795,785,835,1126.4
11400,nearly,639.2,652,644.2,628.8,611.8
11500,random,1627.4,1573.2,1512,1476,1542.8
11500,reversed,792.6,774.2,769.8,814.4,1119.8
11500,nearly,681.4,667.8,656.8,621.2,604.6
11600,random,1669.2,1611.6,1514,1531.2,1542.6
11600,reversed,833.4,822.4,809.2,892.8,1177.4
11600,nearly,653,645.4,630.4,613,593.4
11700,random,1659.4,1607,1535.8,1506.8,1562.8
11700,reversed,840.2,829.4,804.6,835.4,1150.4
11700,nearly,661.8,672.8,648.6,627.4,604.6
11800,random,1698,1634.2,1560.4,1516,1586.4
11800,reversed,810.8,801.8,784.2,857.8,1159.2
11800,nearly,667.6,658.6,652.6,640.6,615.6
11900,random,1709.2,1642.6,1583.4,1573.6,1699.2
11900,reversed,894.8,875.2,861,941,1372.6
11900,nearly,693.6,691.6,691.4,642.8,626.4
12000,random,1745,1673.4,1606.8,1631.6,1709.4
12000,reversed,875.2,826,810,885,1211
12000,nearly,686.8,698.2,697.2,680.8,652
12100,random,1742.6,1665.6,1601.4,1584.2,1689.2
12100,reversed,885.6,824.2,824,903,1227.8
12100,nearly,711.2,715.2,705.8,683.6,646
12200,random,1754.6,1682.8,1612.6,1562,1643.8
12200,reversed,883.4,859,846.6,922.8,1254.8
12200,nearly,713.2,700.4,695.8,677.8,650.8
12300,random,1776.4,1702.6,1637.8,1634.6,1716.6
12300,reversed,895.2,874.6,845.4,924.8,1279.2
12300,nearly,710,718.2,714.8,691,667.8
12400,random,1793,1703.6,1639.6,1634.6,1751
12400,reversed,874,853.4,859.4,940.8,1261.4
12400,nearly,742.4,721.4,715,695.2,672.2
12500,random,1809.4,1721.6,1652.6,1629.4,1726.2
12500,reversed,936,909,893.4,945.6,1293.2
12500,nearly,716.4,730.2,718,684.4,668.6
12600,random,1822,1744.8,1686,1706.8,1833.6
12600,reversed,914.2,875.8,864,943.6,1301.6
12600,nearly,741.6,745.2,738.4,717.6,675.8
12700,random,1827.8,1741.8,1691.8,1700.6,1856.2
12700,reversed,943.2,884.6,860,950.8,1332
12700,nearly,742.6,727.6,720.2,692.6,671
12800,random,1861.2,1769.6,1697.6,1675.4,1764
12800,reversed,900.2,876.8,873.6,962,1336
12800,nearly,758.2,746.4,733.6,714.8,691.2
12900,random,1869.4,1788.8,1716.4,1708.8,1750.4
12900,reversed,920.2,902.2,902.6,983.6,1218
12900,nearly,753.8,756,733.2,713.6,699.2
13000,random,1891.8,1793.2,1737.4,1740.2,1772
13000,reversed,950.4,887.6,887.2,1023.4,1132.2
13000,nearly,768,760,756,731,707.4
13100,random,1905.8,1815.6,1738,1716,1721.2
13100,reversed,958.4,910.2,898.2,997.6,989
13100,nearly,772.6,763.8,747.2,719,720.8
13200,random,1915.8,1837.8,1768,1748,1727.2
13200,reversed,963.2,932.8,927.6,1007,999.6
13200,nearly,808.8,801.2,778.2,734.8,737.8
13300,random,1924.8,1865.8,1766.8,1759.4,1773.2
13300,reversed,942.6,909.4,905,998.8,998.8
13300,nearly,786,772.4,759.8,738.6,744
13400,random,1934.6,1842.4,1780.6,1750.2,1741.4
13400,reversed,978.8,956.4,949.6,1052.6,1050.4
13400,nearly,797,764.2,755.6,731,730
13500,random,1953.4,1881.2,1818.4,1788.8,1809.4
13500,reversed,939,922.6,913.8,1070.6,1069.8
13500,nearly,784,769.4,759.2,738.6,735
13600,random,1971.2,1875.8,1812,1808,1768.8
13600,reversed,990.6,957.4,949.6,1061.2,1059.4
13600,nearly,821.2,818.2,788.8,750.8,749.6
13700,random,1985.2,1937.4,1848.4,1811,1822.2
