algorithm,dataset,size,comparisons,time_microseconds
msd_radix,almost_sorted,1300,6800,1780
msd_radix,random,1400,7462,1652
msd_radix,reversed,1400,7134,1916
msd_radix,almost_sorted,1400,7286,1925
msd_radix,random,1500,7954,1801
msd_radix,reversed,1500,7624,2078
msd_radix,almost_sorted,1500,7774,2064
msd_radix,random,1600,8482,1996
msd_radix,reversed,1600,8118,2234
msd_radix,almost_sorted,1600,8338,2206
msd_radix,random,1700,8980,2131
msd_radix,reversed,1700,8620,2407
msd_radix,almost_sorted,1700,8876,2389
msd_radix,random,1800,9472,2263
msd_radix,reversed,1800,9094,2516
msd_radix,almost_sorted,1800,9510,2529
msd_radix,random,1900,9956,2392
msd_radix,reversed,1900,9774,2670
msd_radix,almost_sorted,1900,10080,2718
msd_radix,random,2000,10426,2500
msd_radix,reversed,2000,10530,2806
msd_radix,almost_sorted,2000,10564,2853
msd_radix,random,2100,10936,2652
msd_radix,reversed,2100,10978,2924
msd_radix,almost_sorted,2100,11052,3000
msd_radix,random,2200,11426,2785
msd_radix,reversed,2200,11500,3071
msd_radix,almost_sorted,2200,11542,3147
msd_radix,random,2300,11920,2922
msd_radix,reversed,2300,11988,3238
msd_radix,almost_sorted,2300,12026,3267
msd_radix,random,2400,12412,3062
msd_radix,reversed,2400,12542,3375
msd_radix,almost_sorted,2400,12524,3413
msd_radix,random,2500,12978,3290
msd_radix,reversed,2500,13014,3492
msd_radix,almost_sorted,2500,13024,3534
msd_radix,random,2600,13484,3421
msd_radix,reversed,2600,13618,3663
msd_radix,almost_sorted,2600,13500,3670
msd_radix,random,2700,14004,3621
msd_radix,reversed,2700,14112,3780
msd_radix,almost_sorted,2700,14062,3823
msd_radix,random,2800,14550,3815
msd_radix,reversed,2800,14598,3926
msd_radix,almost_sorted,2800,14710,3932
msd_radix,random,2900,15102,4015
msd_radix,reversed,2900,15212,4131
msd_radix,almost_sorted,2900,15280,4075
msd_radix,random,3000,15640,4215
msd_radix,reversed,3000,15918,4265
msd_radix,almost_sorted,3000,15764,4179
msd_radix_quick,random,100,864,31
msd_radix_quick,reversed,100,1637,51
msd_radix_quick,almost_sorted,100,847,32
msd_radix_quick,random,200,1772,58
msd_radix_quick,reversed,200,3492,104
msd_radix_quick,almost_sorted,200,1849,64
msd_radix_quick,random,300,2074,72
msd_radix_quick,reversed,300,5258,157
msd_radix_quick,almost_sorted,300,2598,96
msd_radix_quick,random,400,2572,92
msd_radix_quick,reversed,400,7050,205
msd_radix_quick,almost_sorted,400,3580,126
msd_radix_quick,random,500,3083,112
msd_radix_quick,reversed,500,8764,254
msd_radix_quick,almost_sorted,500,4418,155
msd_radix_quick,random,600,3618,132
msd_radix_quick,reversed,600,10653,310
msd_radix_quick,almost_sorted,600,5304,185
msd_radix_quick,random,700,4257,160
msd_radix_quick,reversed,700,12940,368
msd_radix_quick,almost_sorted,700,6246,216
msd_radix_quick,random,800,4788,185
msd_radix_quick,reversed,800,14902,423
msd_radix_quick,almost_sorted,800,7099,248
msd_radix_quick,random,900,5337,206
msd_radix_quick,reversed,900,17347,491
msd_radix_quick,almost_sorted,900,7987,275
msd_radix_quick,random,1000,5958,229
msd_radix_quick,reversed,1000,18975,535
msd_radix_quick,almost_sorted,1000,8854,305
msd_radix_quick,random,1100,6634,257
msd_radix_quick,reversed,1100,20696,597
msd_radix_quick,almost_sorted,1100,9681,341
msd_radix_quick,random,1200,7390,287
msd_radix_quick,reversed,1200,22284,642
msd_radix_quick,almost_sorted,1200,10485,369
msd_radix_quick,random,1300,8117,318
msd_radix_quick,reversed,1300,24166,691
msd_radix_quick,almost_sorted,1300,11276,396
msd_radix_quick,random,1400,8890,344
msd_radix_quick,reversed,1400,25993,745
msd_radix_quick,almost_sorted,1400,12085,426
msd_radix_quick,random,1500,9631,371
msd_radix_quick,reversed,1500,27817,804
msd_radix_quick,almost_sorted,1500,12988,456
msd_radix_quick,random,1600,10344,400
msd_radix_quick,reversed,1600,29672,848
msd_radix_quick,almost_sorted,1600,13814,481
msd_radix_quick,random,1700,11120,428
msd_radix_quick,reversed,1700,31365,889
msd_radix_quick,almost_sorted,1700,14676,518
msd_radix_quick,random,1800,12041,465
msd_radix_quick,reversed,1800,33151,941
msd_radix_quick,almost_sorted,1800,15575,545
msd_radix_quick,random,1900,12796,494
msd_radix_quick,reversed,1900,35132,1003
msd_radix_quick,almost_sorted,1900,16433,580
msd_radix_quick,random,2000,13605,521
msd_radix_quick,reversed,2000,37174,1062
msd_radix_quick,almost_sorted,2000,17285,607
msd_radix_quick,random,2100,14361,549
msd_radix_quick,reversed,2100,38855,1104
msd_radix_quick,almost_sorted,2100,18125,635
msd_radix_quick,random,2200,15183,576
msd_radix_quick,reversed,2200,40903,1162
msd_radix_quick,almost_sorted,2200,18937,663
msd_radix_quick,random,2300,16060,605
